account_id,company_name,industry,rep_id
ACC-00001,OwenLogic Technologies,Insurance,CSM-032
ACC-00002,Vega Ltd Systems,Insurance,CSM-021
ACC-00003,Turquoise Peak Group,Retail & E-Commerce,CSM-046
ACC-00004,Burlywood Peak Holdings,Public Sector,CSM-045
ACC-00005,JohnsonMetrics LLC,Software & Technology,CSM-023
ACC-00006,Turner Ltd Labs,Manufacturing,CSM-043
ACC-00007,Sanchez Solutions,Software & Technology,CSM-012
ACC-00008,LarsonStack Solutions,Logistics & Supply Chain,CSM-020
ACC-00009,MartinData Labs,Travel & Hospitality,CSM-045
ACC-00010,FletcherStack Partners,Media & Entertainment,CSM-009
ACC-00011,RomeroWorks Corp.,Retail & E-Commerce,CSM-047
ACC-00012,Davidson Solutions,Financial Services,CSM-045
ACC-00013,LynchWorks Group,Software & Technology,CSM-026
ACC-00014,Villegas Partners,Software & Technology,CSM-003
ACC-00015,Lightpink Bridge LLC,Retail & E-Commerce,CSM-039
ACC-00016,Wilson-Jimenez Partners,Telecommunications,CSM-040
ACC-00017,Dimgray Grid Group,Manufacturing,CSM-041
ACC-00018,Goldenrod Bridge Solutions,Software & Technology,CSM-007
ACC-00019,Mediumspringgreen Forge Partners,Energy & Utilities,CSM-010
ACC-00020,Nelson-Fischer Group,Telecommunications,CSM-048
ACC-00021,Ortega-Brooks Technologies,Healthcare,CSM-016
ACC-00022,Cornflowerblue Summit Solutions,Telecommunications,CSM-021
ACC-00023,ArnoldMetrics Solutions,Retail & E-Commerce,CSM-041
ACC-00024,ClarkCloud Holdings,Healthcare,CSM-046
ACC-00025,MontoyaCloud Inc.,Insurance,CSM-041
ACC-00026,MichaelStack LLC,Travel & Hospitality,CSM-022
ACC-00027,Davis PLC Group,Energy & Utilities,CSM-001
ACC-00028,Good Technologies,Media & Entertainment,CSM-014
ACC-00029,Navajowhite Summit Inc.,Manufacturing,CSM-045
ACC-00030,BlairStack Industries,Healthcare,CSM-023
ACC-00031,LinSoft LLC,Media & Entertainment,CSM-007
ACC-00032,NelsonStack Technologies,Travel & Hospitality,CSM-001
ACC-00033,BrownCloud Group,Financial Services,CSM-025
ACC-00034,Rodriguez Solutions,Energy & Utilities,CSM-047
ACC-00035,MaxwellFlow Holdings,Logistics & Supply Chain,CSM-011
ACC-00036,Ballard Ltd Corp.,Logistics & Supply Chain,CSM-032
ACC-00037,Allen Group LLC,Logistics & Supply Chain,CSM-023
ACC-00038,VelezFlow Technologies,Public Sector,CSM-025
ACC-00039,Collins Group Partners,Healthcare,CSM-031
ACC-00040,Paleturquoise Forge Systems,Software & Technology,CSM-042
ACC-00041,BeckFlow Labs,Insurance,CSM-015
ACC-00042,Romero PLC Partners,Retail & E-Commerce,CSM-029
ACC-00043,RamosData Solutions,Healthcare,CSM-003
ACC-00044,StokesSoft Corp.,Media & Entertainment,CSM-002
ACC-00045,Mediumturquoise Summit Holdings,Telecommunications,CSM-017
ACC-00046,Lemonchiffon Grid Corp.,Healthcare,CSM-005
ACC-00047,Martinez-Turner Labs,Telecommunications,CSM-011
ACC-00048,Lopez Global,Logistics & Supply Chain,CSM-011
ACC-00049,BentleyLogic Technologies,Travel & Hospitality,CSM-005
ACC-00050,Lightseagreen Bridge Industries,Public Sector,CSM-006
ACC-00051,Mcdowell-Smith Holdings,Telecommunications,CSM-039
ACC-00052,Fuller Partners,Software & Technology,CSM-031
ACC-00053,Sampson-Foley Group,Travel & Hospitality,CSM-002
ACC-00054,Turner Industries,Logistics & Supply Chain,CSM-042
ACC-00055,Valentine-Holland Partners,Retail & E-Commerce,CSM-039
ACC-00056,Phillips Solutions,Logistics & Supply Chain,CSM-011
ACC-00057,Stein-Silva Labs,Financial Services,CSM-007
ACC-00058,CarrMetrics LLC,Telecommunications,CSM-014
ACC-00059,Owens Group,Manufacturing,CSM-027
ACC-00060,HayesLogic Industries,Travel & Hospitality,CSM-036
ACC-00061,Parks-Henry Global,Travel & Hospitality,CSM-047
ACC-00062,Cook-Hines Labs,Public Sector,CSM-017
ACC-00063,ThompsonData Holdings,Insurance,CSM-019
ACC-00064,Whitesmoke Peak Group,Media & Entertainment,CSM-016
ACC-00065,HermanLogic Systems,Healthcare,CSM-004
ACC-00066,YoungLogic Corp.,Logistics & Supply Chain,CSM-037
ACC-00067,Seashell Peak Technologies,Public Sector,CSM-032
ACC-00068,Drake Corp.,Retail & E-Commerce,CSM-004
ACC-00069,Hays-Daniels Global,Telecommunications,CSM-001
ACC-00070,Darkgreen Peak Labs,Logistics & Supply Chain,CSM-006
ACC-00071,Stephenson Technologies,Media & Entertainment,CSM-043
ACC-00072,HallData Partners,Insurance,CSM-039
ACC-00073,Red Bridge Industries,Energy & Utilities,CSM-013
ACC-00074,SnyderMetrics Group,Healthcare,CSM-002
ACC-00075,BrownFlow Solutions,Manufacturing,CSM-011
ACC-00076,Lightslategray Grid Technologies,Insurance,CSM-019
ACC-00077,Snow Summit Industries,Healthcare,CSM-031
ACC-00078,Johnson Group,Healthcare,CSM-020
ACC-00079,Stewart Systems,Logistics & Supply Chain,CSM-031
ACC-00080,Darkgoldenrod Bridge Solutions,Energy & Utilities,CSM-043
ACC-00081,StoneFlow LLC,Media & Entertainment,CSM-006
ACC-00082,Jones Group Technologies,Insurance,CSM-035
ACC-00083,Darkgreen Harbor Holdings,Logistics & Supply Chain,CSM-012
ACC-00084,Li-Thompson Partners,Telecommunications,CSM-025
ACC-00085,Gutierrez Ltd Group,Telecommunications,CSM-012
ACC-00086,Salazar-Ball Corp.,Energy & Utilities,CSM-003
ACC-00087,Walker Global,Media & Entertainment,CSM-029
ACC-00088,Azure Bridge Corp.,Energy & Utilities,CSM-017
ACC-00089,NelsonData Industries,Manufacturing,CSM-018
ACC-00090,Yu Inc Systems,Software & Technology,CSM-004
ACC-00091,Darkgray Harbor Holdings,Retail & E-Commerce,CSM-049
ACC-00092,BellMetrics Corp.,Travel & Hospitality,CSM-043
ACC-00093,Bryant Inc.,Healthcare,CSM-006
ACC-00094,DeanSoft LLC,Insurance,CSM-023
ACC-00095,SchmidtFlow Labs,Public Sector,CSM-027
ACC-00096,Olson Holdings,Software & Technology,CSM-015
ACC-00097,BallardFlow Partners,Public Sector,CSM-004
ACC-00098,Spencer Industries,Logistics & Supply Chain,CSM-034
ACC-00099,Darkviolet Forge LLC,Logistics & Supply Chain,CSM-035
ACC-00100,Darkred Bridge Global,Insurance,CSM-031
ACC-00101,Lightseagreen Bridge Partners,Software & Technology,CSM-016
ACC-00102,Lightyellow Harbor Inc.,Energy & Utilities,CSM-020
ACC-00103,Conner Partners,Healthcare,CSM-026
ACC-00104,Evans Systems,Travel & Hospitality,CSM-003
ACC-00105,Smith-Herrera Industries,Public Sector,CSM-037
ACC-00106,Horton LLC,Public Sector,CSM-037
ACC-00107,AllenCloud Corp.,Insurance,CSM-040
ACC-00108,SmithSoft Group,Retail & E-Commerce,CSM-008
ACC-00109,Turner Partners,Energy & Utilities,CSM-012
ACC-00110,Aliceblue Forge Technologies,Retail & E-Commerce,CSM-014
ACC-00111,Gutierrez-Lopez Systems,Manufacturing,CSM-009
ACC-00112,Gardner LLC Solutions,Financial Services,CSM-028
ACC-00113,Shea Group Industries,Healthcare,CSM-044
ACC-00114,Byrd-Moore Systems,Logistics & Supply Chain,CSM-013
ACC-00115,James Industries,Insurance,CSM-010
ACC-00116,Ruiz Ltd LLC,Software & Technology,CSM-017
ACC-00117,WoodSoft Industries,Telecommunications,CSM-047
ACC-00118,Branch Systems,Healthcare,CSM-006
ACC-00119,Dean-Jimenez Industries,Logistics & Supply Chain,CSM-036
ACC-00120,Hopkins Ltd Solutions,Logistics & Supply Chain,CSM-036
ACC-00121,House-Glover LLC,Telecommunications,CSM-018
ACC-00122,JonesMetrics Group,Public Sector,CSM-030
ACC-00123,Ferrell Industries,Financial Services,CSM-045
ACC-00124,ColemanFlow Solutions,Software & Technology,CSM-038
ACC-00125,JenningsLogic Corp.,Public Sector,CSM-027
ACC-00126,Lopez-Curry Inc.,Healthcare,CSM-027
ACC-00127,Diaz Inc Global,Retail & E-Commerce,CSM-010
ACC-00128,Peachpuff Summit Systems,Software & Technology,CSM-038
